Author,Comment,PublishedAt
@user79402,ku kira lagu ternyata kisah ku,2024-06-02T12:41:44Z
@_pazeamor,provrbios 356 confie no senhor de todo o seu corao e no se apie em seu prprio entendimento reconhea o senhor em todos os seus caminhos e ele endireitar as suas veredas,2024-05-30T17:49:13Z
@zila_mir,keren lagunya,2024-05-30T01:42:46Z
@nuraini3021,no,2024-05-30T00:12:18Z
@nuraini3021,,2024-05-30T00:08:07Z
@maulanahadiannor3569,harusnya mv nya kisah nabi,2024-05-29T05:32:33Z
@rizkyfidiansyah2768,gas 70 jt moo sambil up kupu kupu,2024-05-27T23:31:35Z
@evangebeerr,titiii aku usaii titiiiii,2024-05-27T13:01:13Z
@NanaAgustina179,gas 70jt janji rosinda,2024-05-27T07:39:27Z
@afj_001,setiap kali aku dengar lagu ni aku nangis aku tidak menangis sebab someone broke my heart tapi aku nangis setiap lirik yang di sampaikan seperti perjuangan nabi muhammad untuk umatnya semoga kita teruskan perjuangan nabi kita,2024-05-27T03:27:46Z
@wh109,janji apa,2024-05-27T02:57:24Z
@purtinarendrani3803,tiaranya akuuu,2024-05-27T02:55:57Z
@charliecheah4318,sangat mantap,2024-05-26T14:27:46Z
@zafreenhisham9690,ashiap homebois mpl mal 2 minggu ni kasi perform juara id 496842472210,2024-05-25T16:07:02Z
@Momoy-Momoy,lagu kebanggaan nya rosinda karina,2024-05-24T13:54:28Z
@nybpb287,tidak pernah gagal,2024-05-23T17:18:58Z
@andizreal2180,walaupun ga suka modelnya tapi tetep suka lagunya,2024-05-23T14:44:06Z
@fauzi9765,gas 70 jt,2024-05-22T17:54:18Z
@Indrawan0000,,2024-05-22T01:29:18Z
@kistoato5261,gass 70 jt,2024-05-22T01:04:54Z
@LijahRinah,idola gua ni merdunya suara tiara andini,2024-05-22T00:17:16Z
@reynalnugg0627,lagu ini selalu buat kita rindu pada sosok rasulullah saw,2024-05-21T11:57:33Z
@user-kt3wx3wx1t,janji setia kisah rasulullah,2024-05-21T09:57:11Z
@user-vz9pd4xm6v,si palin enak dan syahdu janji setia,2024-05-21T03:09:39Z
@MICHSANFAZAR,sipaling masterpiece ni lagu,2024-05-20T18:23:10Z
@harumtianggoro541,otw 70 m,2024-05-19T23:28:23Z
@akuchannel2604,dede bayi gede i miss you lampung,2024-05-19T16:44:52Z
@ellinellin5475,alhamdulillah akhirny 69jt views semangat menjemput 70jt views yakin bersama kita bisa bismillah,2024-05-19T16:23:14Z
@saovaroschompu6581,,2024-05-19T02:46:28Z
@Karyuumoderog667,semua akan hilang ketika ada nya pahlawan,2024-05-19T01:41:27Z
@FitriHandayani05-rt4tf,rinduu kaliaann berdua alshad tiara,2024-05-17T20:40:22Z
@widieyanti352,masa lalu sudahlah berlalu,2024-05-17T14:01:50Z
@AllzenaRahma,dari semua video klip ny tiara janji setia akan tetap menjadi pemenang ny karena ada alshad,2024-05-17T02:42:15Z
@zia9394,kangen pasangan ini,2024-05-16T11:06:26Z
@rhndoang3363,ga pernah bosen sama lagu ini luvv bgt,2024-05-16T10:57:08Z
@adesaputra4497,keren,2024-05-15T15:23:30Z
@mustikanovvitasari3985,,2024-05-14T23:02:34Z
@alisha_mutiara,lagu nya bagus banget cocok buat kekasih buat keluarga juga buat rasulullah,2024-05-14T16:04:20Z
@muhammadzakaria6412,sorry ai aku jahat ke kamu maaaf banget yah,2024-05-14T13:19:00Z
@andiclaraazzahra3941,up,2024-05-14T10:35:30Z
@andiclaraazzahra3941,nice,2024-05-14T10:34:02Z
@fadhlanfadhillah1404,nangis karena teringat kisah nabi muhammad shallallahu alaihi wasallam,2024-05-14T09:41:10Z
@AerilShahrul-kb1ul,riyak hek rachel,2024-05-14T09:39:03Z
@muhammadrumaizanrumaling7372,dalam video klip ni saya amat tertarik dengan kereta toyota corolla gl wlpn kereta tersebut sudah berusia 40 tahun namun masih lagi mampu dan gah berada di jalanraya,2024-05-14T09:37:34Z
@skoopyofficial4018,kini aku mengerti semua ini terjadi tak dipungkiri hanya kamu yang kumiliki bumi di kala sunyi kamu takkan sendiri aku di sini menantimu kembali andai saja ku bisa genggam tanganmu takkan ada kata rindu di dalam hatiku tahukah dirimu betapa diriku merindukan hadirmu ada di sini percayalah kasih jarak dan waktu tak mampu menghapus janji setia menjaga hati andai saja ku bisa genggam tanganmu takkan ada kata rindu di dalam hatiku ohoh tahukah dirimu betapa diriku merindukan hadirmu ada di sini percayalah kasih jarak dan waktu tak mampu menghapus janganlah kauhapus janji setia menjaga hati hujan turun mewakili hati terpa angin gambarkan resahku hooh namun kini pelangi dan kini pelangi datang menyinari kita hooh merindukan hadirmu ada di sini percayalah kasih jarak dan waktu tak mampu menghapus janji setia menjaga hati merindukan hadirmu ada di sini percayalah oh kasihku jarak dan waktu tak mampu menghapus janji setia menjaga hati hoohohho,2024-05-13T14:05:48Z
@wanfaisalchesuhaimi2776,saya baca komen ramai cakap dengar lagu ini bagaikan related untuk rasulullah saw teringatkan rasulullah saw allahuakhbar tahukah dirimu betapa diriku merindukan hadirmu ada disini kita merindukan hadirmu ada disini subhanallah,2024-05-13T04:46:49Z
@worapongsowapas2956,like,2024-05-12T23:06:26Z
@ilhamdaledo7078,bagussss banget,2024-05-12T13:44:49Z
@rahmadkurnia2994,reffnya,2024-05-11T13:09:57Z
@user-by5rr8eg5c,,2024-05-09T15:57:31Z
@MinranaRana-wp1sd,cinta ku cmn sma wahyu,2024-05-07T13:47:13Z
@PebriOno-gt7cv,suaranya lembut dan bagus banget mbak tiara,2024-05-06T14:43:07Z
@HFz300,selalu menangis ketika mendengar lagu ini sambil memikirkan sang nabi muhammad,2024-05-05T06:16:46Z
@RafiAbdulAziz-gy2du,sialllagu ini berhasil membuat saya nangis,2024-05-04T13:55:36Z
@novinovita2543,noer arief hidayat,2024-05-04T09:01:50Z
@lolamelinda5423,udah capek2 setia jaga hati eh di selingkuhin lagi dan lagi utk yg ke 3x ya,2024-05-03T05:56:54Z
